a;c;gamma;iterate
0.27284354180292963;0.02;0.19999999999999998;0
0.27284354180292963;0.02;0.19999999999999998;1
0.27284354180292963;0.02;0.19999999999999998;2
0.27284354180292963;0.02;0.19999999999999998;3
0.27284354180292963;0.02;0.19999999999999998;4
0.27284354180292963;0.02;0.19999999999999998;5
0.27284354180292963;0.02;0.19999999999999998;6
0.27284354180292963;0.02;0.19999999999999998;7
0.27284354180292963;0.02;0.19999999999999998;8
0.27284354180292963;0.02;0.19999999999999998;9
0.27284354180292963;0.02;0.19999999999999998;10
0.27284354180292963;0.02;0.19999999999999998;11
0.27284354180292963;0.02;0.19999999999999998;12
0.27284354180292963;0.02;0.19999999999999998;13
0.27284354180292963;0.02;0.19999999999999998;14
0.27284354180292963;0.02;0.19999999999999998;15
0.27284354180292963;0.02;0.19999999999999998;16
0.27284354180292963;0.02;0.19999999999999998;17
0.27284354180292963;0.02;0.19999999999999998;18
0.27284354180292963;0.02;0.19999999999999998;19
0.27284354180292963;0.02;0.19999999999999998;20
0.27284354180292963;0.02;0.19999999999999998;21
0.27284354180292963;0.02;0.19999999999999998;22
0.27284354180292963;0.02;0.19999999999999998;23
0.27284354180292963;0.02;0.19999999999999998;24
0.27284354180292963;0.02;0.19999999999999998;25
0.27284354180292963;0.02;0.19999999999999998;26
0.27284354180292963;0.02;0.19999999999999998;27
0.27284354180292963;0.02;0.19999999999999998;28
0.27284354180292963;0.02;0.19999999999999998;29
0.27284354180292963;0.02;0.19999999999999998;30
0.27284354180292963;0.02;0.19999999999999998;31
0.27284354180292963;0.02;0.19999999999999998;32
0.27284354180292963;0.02;0.19999999999999998;33
0.27284354180292963;0.02;0.19999999999999998;34
0.27284354180292963;0.02;0.19999999999999998;35
0.27284354180292963;0.02;0.19999999999999998;36
0.27284354180292963;0.02;0.19999999999999998;37
0.27284354180292963;0.02;0.19999999999999998;38
0.27284354180292963;0.02;0.19999999999999998;39
0.27284354180292963;0.02;0.19999999999999998;40
0.27284354180292963;0.02;0.19999999999999998;41
0.27284354180292963;0.02;0.19999999999999998;42
0.27284354180292963;0.02;0.19999999999999998;43
0.27284354180292963;0.02;0.19999999999999998;44
0.27284354180292963;0.02;0.19999999999999998;45
0.27284354180292963;0.02;0.19999999999999998;46
0.27284354180292963;0.02;0.19999999999999998;47
0.27284354180292963;0.02;0.19999999999999998;48
0.27284354180292963;0.02;0.19999999999999998;49
0.27284354180292963;0.02;0.19999999999999998;50
0.27284354180292963;0.02;0.19999999999999998;51
0.27284354180292963;0.02;0.19999999999999998;52
0.27284354180292963;0.02;0.19999999999999998;53
0.27284354180292963;0.02;0.19999999999999998;54
0.27284354180292963;0.02;0.19999999999999998;55
0.27284354180292963;0.02;0.19999999999999998;56
0.27284354180292963;0.02;0.19999999999999998;57
0.27284354180292963;0.02;0.19999999999999998;58
0.27284354180292963;0.02;0.19999999999999998;59
0.27284354180292963;0.02;0.19999999999999998;60
0.27284354180292963;0.02;0.19999999999999998;61
0.27284354180292963;0.02;0.19999999999999998;62
0.27284354180292963;0.02;0.19999999999999998;63
0.27284354180292963;0.02;0.19999999999999998;64
0.27284354180292963;0.02;0.19999999999999998;65
0.27284354180292963;0.02;0.19999999999999998;66
0.27284354180292963;0.02;0.19999999999999998;67
0.27284354180292963;0.02;0.19999999999999998;68
0.27284354180292963;0.02;0.19999999999999998;69
0.27284354180292963;0.02;0.19999999999999998;70
0.27284354180292963;0.02;0.19999999999999998;71
0.27284354180292963;0.02;0.19999999999999998;72
0.27284354180292963;0.02;0.19999999999999998;73
0.27284354180292963;0.02;0.19999999999999998;74
0.27284354180292963;0.02;0.19999999999999998;75
0.27284354180292963;0.02;0.19999999999999998;76
0.27284354180292963;0.02;0.19999999999999998;77
0.27284354180292963;0.02;0.19999999999999998;78
0.27284354180292963;0.02;0.19999999999999998;79
0.27284354180292963;0.02;0.19999999999999998;80
0.27284354180292963;0.02;0.19999999999999998;81
