pos;shape;value;landmark
pos1;1;-0.74213740331752;1
pos2;1;-0.6400285257750022;1
pos1;1;-1.0854369171059943;2
pos2;1;-0.7334545776003165;2
pos1;1;-1.4217481469640392;3
pos2;1;-0.6654784802572298;3
pos1;1;-1.5148692616477906;4
pos2;1;-0.35435261534228024;4
pos1;1;-1.2860424788056273;5
pos2;1;-0.09072942338563467;5
pos1;1;-1.0018693956226825;6
pos2;1;0.11596626936246553;6
pos1;1;-0.695426779099387;7
pos2;1;0.2776711655926541;7
pos1;1;-0.38728154652574975;8
pos2;1;0.4441830384270854;8
pos1;1;-0.04788280551486598;9
pos2;1;0.5794337108805697;9
pos1;1;0.31764094211871274;10
pos2;1;0.6132514951797587;10
pos1;1;0.6629896550820517;11
pos2;1;0.5186183939899394;11
pos1;1;0.9738688667736302;12
pos2;1;0.41355119909078475;12
pos1;1;1.2694761629348712;13
pos2;1;0.28262664441866714;13
pos1;1;1.4910603727645675;14
pos2;1;0.04209221716434905;14
pos1;1;1.6515785970440398;15
pos2;1;-0.2279347693272031;15
pos1;1;1.4843913742586705;16
pos2;1;-0.4439898229868465;16
pos1;1;1.2083636789043763;17
pos2;1;-0.29288951795901275;17
pos1;1;1.041810148234989;18
pos2;1;-0.009674448741624436;18
pos1;1;0.7897177203481074;19
pos2;1;0.18259317406131712;19
pos1;1;0.48329803347058614;20
pos2;1;0.28216567222706107;20
pos1;1;0.1465987305873039;21
pos2;1;0.29707107963240836;21
pos1;1;-0.19292106381461654;22
pos2;1;0.2164909749059658;22
pos1;1;-0.5068795938365654;23
pos2;1;0.07531007106246083;23
pos1;1;-0.7725202659259284;24
pos2;1;-0.09343136319161706;24
pos1;1;-0.9661596211832306;25
pos2;1;-0.27789154412043987;25
pos1;1;-0.8828513209958513;26
pos2;1;-0.49699902824462605;26
