locx;locy;nfstd
-2.5;-2.5;0.75
-1.0;-2.5;0.75
0.5;-2.5;0.75
2.0;-2.5;0.75
-2.5;-1.0;0.75
-1.0;-1.0;0.75
0.5;-1.0;0.75
2.0;-1.0;0.75
-2.5;0.5;0.75
-1.0;0.5;0.75
0.5;0.5;0.75
2.0;0.5;0.75
-2.5;2.0;0.75
-1.0;2.0;0.75
0.5;2.0;0.75
2.0;2.0;0.75
