a;gamma;iterate
0.2;0.5773502691896258;0
0.2;0.5773502691896258;1
0.1921609360315646;0.5773502691896258;2
0.22802938736440434;0.5773502691896258;3
0.22558374000995987;0.5773502691896258;4
0.204863851325223;0.5773502691896258;5
0.21968531430280938;0.5773502691896258;6
0.2084285531177129;0.5773502691896258;7
0.18856727617926952;0.5773502691896258;8
0.18384569096915432;0.5773502691896258;9
0.18384569096915432;0.5773502691896258;10
0.17124007741973854;0.5773502691896258;11
0.1673892114632779;0.5773502691896258;12
0.1673892114632779;0.5773502691896258;13
0.18477573148625356;0.5773502691896258;14
0.18477573148625356;0.5773502691896258;15
0.22055166371811324;0.5773502691896258;16
0.22055166371811324;0.5773502691896258;17
0.20931112217096176;0.5773502691896258;18
0.20931112217096176;0.5773502691896258;19
0.1761820553242097;0.5773502691896258;20
0.1761820553242097;0.5773502691896258;21
0.19107502851648114;0.5773502691896258;22
0.1812233147955046;0.5773502691896258;23
0.17948065655975615;0.5773502691896258;24
0.18016079662499768;0.5773502691896258;25
0.20202603392207819;0.5773502691896258;26
0.20202603392207819;0.5773502691896258;27
0.21499143894064332;0.5773502691896258;28
0.21747605484076712;0.5773502691896258;29
0.21747605484076712;0.5773502691896258;30
0.21488872029157122;0.5773502691896258;31
0.21030933666381774;0.5773502691896258;32
0.21030933666381774;0.5773502691896258;33
0.18658558132778047;0.5773502691896258;34
0.18590820617420856;0.5773502691896258;35
0.1863636258853855;0.5773502691896258;36
0.19843033394914278;0.5773502691896258;37
0.19843033394914278;0.5773502691896258;38
0.19843033394914278;0.5773502691896258;39
0.18988544562916296;0.5773502691896258;40
0.18359685261466677;0.5773502691896258;41
0.18359685261466677;0.5773502691896258;42
0.16451695998972604;0.5773502691896258;43
0.14679179115408503;0.5773502691896258;44
0.14679179115408503;0.5773502691896258;45
0.1780197522946682;0.5773502691896258;46
0.18257984338917815;0.5773502691896258;47
0.18257984338917815;0.5773502691896258;48
0.1859658001596737;0.5773502691896258;49
0.1859658001596737;0.5773502691896258;50
0.18290358408866844;0.5773502691896258;51
0.1765880124998422;0.5773502691896258;52
0.1765880124998422;0.5773502691896258;53
