kernel;acc;iter
:parameterupdate;1;133
rmmala_pos;1;134
:parameterupdate;1;134
rmmala_pos;1;135
:parameterupdate;0;135
rmmala_pos;1;136
:parameterupdate;0;136
rmmala_pos;1;137
:parameterupdate;1;137
rmmala_pos;1;138
:parameterupdate;1;138
rmmala_pos;1;139
:parameterupdate;0;139
rmmala_pos;1;140
:parameterupdate;0;140
rmmala_pos;1;141
:parameterupdate;1;141
rmmala_pos;1;142
:parameterupdate;0;142
rmmala_pos;0;143
:parameterupdate;0;143
rmmala_pos;0;144
:parameterupdate;1;144
rmmala_pos;1;145
:parameterupdate;1;145
rmmala_pos;0;146
:parameterupdate;1;146
rmmala_pos;1;147
:parameterupdate;1;147
rmmala_pos;1;148
:parameterupdate;0;148
rmmala_pos;1;149
:parameterupdate;1;149
rmmala_pos;1;150
:parameterupdate;1;150
rmmala_pos;1;151
:parameterupdate;0;151
rmmala_pos;0;152
:parameterupdate;1;152
rmmala_pos;1;153
:parameterupdate;0;153
rmmala_pos;1;154
:parameterupdate;1;154
rmmala_pos;1;155
:parameterupdate;0;155
rmmala_pos;0;156
:parameterupdate;0;156
rmmala_pos;1;157
:parameterupdate;0;157
rmmala_pos;1;158
:parameterupdate;0;158
rmmala_pos;1;159
:parameterupdate;0;159
rmmala_pos;1;160
:parameterupdate;0;160
rmmala_pos;1;161
:parameterupdate;1;161
rmmala_pos;1;162
:parameterupdate;1;162
rmmala_pos;1;163
:parameterupdate;1;163
rmmala_pos;1;164
:parameterupdate;0;164
rmmala_pos;0;165
:parameterupdate;0;165
rmmala_pos;1;166
:parameterupdate;1;166
rmmala_pos;1;167
:parameterupdate;1;167
rmmala_pos;1;168
:parameterupdate;0;168
rmmala_pos;1;169
:parameterupdate;0;169
rmmala_pos;0;170
:parameterupdate;0;170
rmmala_pos;1;171
:parameterupdate;0;171
rmmala_pos;1;172
:parameterupdate;0;172
rmmala_pos;0;173
:parameterupdate;0;173
rmmala_pos;1;174
:parameterupdate;1;174
rmmala_pos;1;175
:parameterupdate;1;175
rmmala_pos;1;176
:parameterupdate;1;176
rmmala_pos;0;177
:parameterupdate;0;177
rmmala_pos;1;178
:parameterupdate;0;178
rmmala_pos;1;179
:parameterupdate;0;179
rmmala_pos;0;180
:parameterupdate;1;180
rmmala_pos;1;181
:parameterupdate;1;181
rmmala_pos;0;182
:parameterupdate;0;182
rmmala_pos;1;183
:parameterupdate;0;183
rmmala_pos;1;184
:parameterupdate;0;184
rmmala_pos;0;185
:parameterupdate;0;185
rmmala_pos;1;186
:parameterupdate;1;186
rmmala_pos;1;187
:parameterupdate;0;187
rmmala_pos;1;188
:parameterupdate;0;188
rmmala_pos;0;189
:parameterupdate;0;189
rmmala_pos;0;190
:parameterupdate;1;190
rmmala_pos;1;191
:parameterupdate;1;191
rmmala_pos;1;192
:parameterupdate;0;192
rmmala_pos;1;193
:parameterupdate;1;193
rmmala_pos;0;194
:parameterupdate;1;194
rmmala_pos;1;195
:parameterupdate;1;195
rmmala_pos;1;196
:parameterupdate;0;196
rmmala_pos;1;197
:parameterupdate;1;197
rmmala_pos;0;198
:parameterupdate;1;198
rmmala_pos;0;199
:parameterupdate;0;199
rmmala_pos;1;200
:parameterupdate;0;200
rmmala_pos;1;201
:parameterupdate;0;201
rmmala_pos;1;202
:parameterupdate;0;202
rmmala_pos;1;203
:parameterupdate;0;203
rmmala_pos;1;204
:parameterupdate;1;204
rmmala_pos;1;205
:parameterupdate;1;205
rmmala_pos;1;206
:parameterupdate;0;206
rmmala_pos;0;207
:parameterupdate;1;207
rmmala_pos;1;208
:parameterupdate;1;208
rmmala_pos;0;209
:parameterupdate;0;209
rmmala_pos;1;210
:parameterupdate;0;210
rmmala_pos;1;211
:parameterupdate;0;211
rmmala_pos;0;212
:parameterupdate;1;212
rmmala_pos;1;213
:parameterupdate;0;213
rmmala_pos;1;214
:parameterupdate;0;214
rmmala_pos;1;215
:parameterupdate;0;215
rmmala_pos;0;216
:parameterupdate;1;216
rmmala_pos;1;217
:parameterupdate;0;217
rmmala_pos;1;218
:parameterupdate;0;218
rmmala_pos;1;219
:parameterupdate;1;219
rmmala_pos;1;220
:parameterupdate;0;220
rmmala_pos;1;221
:parameterupdate;0;221
rmmala_pos;1;222
:parameterupdate;1;222
rmmala_pos;1;223
:parameterupdate;0;223
rmmala_pos;0;224
:parameterupdate;0;224
rmmala_pos;1;225
:parameterupdate;0;225
rmmala_pos;1;226
:parameterupdate;1;226
rmmala_pos;0;227
:parameterupdate;0;227
rmmala_pos;0;228
:parameterupdate;1;228
rmmala_pos;1;229
:parameterupdate;0;229
rmmala_pos;1;230
:parameterupdate;0;230
rmmala_pos;1;231
:parameterupdate;1;231
rmmala_pos;0;232
:parameterupdate;1;232
rmmala_pos;1;233
:parameterupdate;1;233
rmmala_pos;1;234
:parameterupdate;0;234
rmmala_pos;0;235
:parameterupdate;0;235
rmmala_pos;1;236
:parameterupdate;1;236
rmmala_pos;1;237
:parameterupdate;1;237
rmmala_pos;1;238
:parameterupdate;1;238
rmmala_pos;0;239
:parameterupdate;1;239
rmmala_pos;1;240
:parameterupdate;0;240
rmmala_pos;1;241
:parameterupdate;0;241
rmmala_pos;0;242
:parameterupdate;0;242
rmmala_pos;1;243
:parameterupdate;0;243
rmmala_pos;0;244
:parameterupdate;1;244
rmmala_pos;1;245
:parameterupdate;0;245
rmmala_pos;1;246
:parameterupdate;0;246
rmmala_pos;1;247
:parameterupdate;0;247
rmmala_pos;0;248
:parameterupdate;1;248
rmmala_pos;0;249
:parameterupdate;0;249
rmmala_pos;0;250
:parameterupdate;1;250
rmmala_pos;1;251
:parameterupdate;0;251
rmmala_pos;1;252
:parameterupdate;0;252
rmmala_pos;1;253
:parameterupdate;0;253
rmmala_pos;1;254
:parameterupdate;0;254
rmmala_pos;1;255
:parameterupdate;0;255
rmmala_pos;1;256
:parameterupdate;1;256
rmmala_pos;0;257
:parameterupdate;0;257
rmmala_pos;0;258
:parameterupdate;0;258
rmmala_pos;1;259
:parameterupdate;1;259
rmmala_pos;0;260
:parameterupdate;1;260
rmmala_pos;1;261
:parameterupdate;1;261
rmmala_pos;1;262
:parameterupdate;1;262
rmmala_pos;1;263
:parameterupdate;0;263
rmmala_pos;0;264
:parameterupdate;0;264
rmmala_pos;0;265
:parameterupdate;1;265
rmmala_pos;1;266
:parameterupdate;1;266
rmmala_pos;1;267
:parameterupdate;0;267
rmmala_pos;0;268
:parameterupdate;1;268
rmmala_pos;1;269
:parameterupdate;0;269
rmmala_pos;1;270
:parameterupdate;0;270
rmmala_pos;0;271
:parameterupdate;0;271
rmmala_pos;1;272
:parameterupdate;0;272
rmmala_pos;1;273
:parameterupdate;0;273
rmmala_pos;0;274
:parameterupdate;0;274
rmmala_pos;0;275
:parameterupdate;1;275
rmmala_pos;1;276
:parameterupdate;0;276
rmmala_pos;0;277
:parameterupdate;0;277
rmmala_pos;0;278
:parameterupdate;0;278
rmmala_pos;0;279
:parameterupdate;1;279
rmmala_pos;1;280
:parameterupdate;0;280
rmmala_pos;1;281
:parameterupdate;0;281
rmmala_pos;0;282
:parameterupdate;0;282
rmmala_pos;0;283
:parameterupdate;1;283
rmmala_pos;1;284
:parameterupdate;1;284
rmmala_pos;0;285
:parameterupdate;1;285
rmmala_pos;0;286
:parameterupdate;0;286
rmmala_pos;0;287
:parameterupdate;0;287
rmmala_pos;1;288
:parameterupdate;1;288
rmmala_pos;1;289
:parameterupdate;1;289
rmmala_pos;1;290
:parameterupdate;0;290
rmmala_pos;1;291
:parameterupdate;0;291
rmmala_pos;0;292
:parameterupdate;1;292
rmmala_pos;1;293
:parameterupdate;1;293
rmmala_pos;1;294
:parameterupdate;1;294
rmmala_pos;1;295
:parameterupdate;1;295
rmmala_pos;0;296
:parameterupdate;1;296
rmmala_pos;1;297
:parameterupdate;1;297
rmmala_pos;1;298
:parameterupdate;0;298
rmmala_pos;1;299
:parameterupdate;1;299
rmmala_pos;0;300
:parameterupdate;1;300
rmmala_pos;1;301
:parameterupdate;0;301
rmmala_pos;1;302
:parameterupdate;1;302
rmmala_pos;1;303
:parameterupdate;0;303
rmmala_pos;0;304
:parameterupdate;0;304
rmmala_pos;1;305
:parameterupdate;1;305
rmmala_pos;0;306
:parameterupdate;0;306
rmmala_pos;1;307
:parameterupdate;0;307
rmmala_pos;1;308
:parameterupdate;1;308
rmmala_pos;0;309
:parameterupdate;0;309
rmmala_pos;1;310
:parameterupdate;1;310
rmmala_pos;0;311
:parameterupdate;1;311
rmmala_pos;1;312
:parameterupdate;1;312
rmmala_pos;0;313
:parameterupdate;0;313
rmmala_pos;0;314
:parameterupdate;0;314
rmmala_pos;0;315
:parameterupdate;0;315
rmmala_pos;0;316
:parameterupdate;0;316
rmmala_pos;1;317
:parameterupdate;0;317
rmmala_pos;0;318
:parameterupdate;0;318
rmmala_pos;1;319
:parameterupdate;1;319
rmmala_pos;1;320
:parameterupdate;1;320
rmmala_pos;1;321
:parameterupdate;1;321
rmmala_pos;1;322
:parameterupdate;0;322
rmmala_pos;0;323
:parameterupdate;0;323
rmmala_pos;0;324
:parameterupdate;1;324
rmmala_pos;1;325
:parameterupdate;0;325
rmmala_pos;1;326
:parameterupdate;1;326
rmmala_pos;0;327
:parameterupdate;1;327
rmmala_pos;0;328
:parameterupdate;0;328
rmmala_pos;0;329
:parameterupdate;0;329
rmmala_pos;1;330
:parameterupdate;1;330
rmmala_pos;1;331
:parameterupdate;1;331
rmmala_pos;1;332
:parameterupdate;1;332
rmmala_pos;1;333
:parameterupdate;1;333
rmmala_pos;1;334
:parameterupdate;0;334
rmmala_pos;1;335
:parameterupdate;0;335
rmmala_pos;1;336
:parameterupdate;1;336
rmmala_pos;1;337
:parameterupdate;0;337
rmmala_pos;1;338
:parameterupdate;1;338
rmmala_pos;1;339
:parameterupdate;0;339
rmmala_pos;0;340
:parameterupdate;1;340
rmmala_pos;0;341
:parameterupdate;0;341
rmmala_pos;1;342
:parameterupdate;1;342
rmmala_pos;0;343
:parameterupdate;0;343
rmmala_pos;1;344
:parameterupdate;1;344
rmmala_pos;1;345
:parameterupdate;0;345
rmmala_pos;1;346
:parameterupdate;0;346
rmmala_pos;1;347
:parameterupdate;1;347
rmmala_pos;1;348
:parameterupdate;1;348
rmmala_pos;0;349
:parameterupdate;0;349
rmmala_pos;1;350
:parameterupdate;0;350
rmmala_pos;1;351
:parameterupdate;1;351
rmmala_pos;0;352
:parameterupdate;0;352
rmmala_pos;1;353
:parameterupdate;0;353
rmmala_pos;1;354
:parameterupdate;1;354
rmmala_pos;1;355
:parameterupdate;1;355
rmmala_pos;1;356
:parameterupdate;1;356
rmmala_pos;1;357
:parameterupdate;0;357
rmmala_pos;0;358
:parameterupdate;0;358
rmmala_pos;1;359
:parameterupdate;1;359
rmmala_pos;0;360
:parameterupdate;1;360
rmmala_pos;0;361
:parameterupdate;0;361
rmmala_pos;0;362
:parameterupdate;0;362
rmmala_pos;0;363
:parameterupdate;0;363
rmmala_pos;0;364
:parameterupdate;0;364
rmmala_pos;1;365
:parameterupdate;0;365
rmmala_pos;1;366
:parameterupdate;0;366
rmmala_pos;1;367
:parameterupdate;0;367
rmmala_pos;1;368
:parameterupdate;0;368
rmmala_pos;1;369
:parameterupdate;1;369
rmmala_pos;1;370
:parameterupdate;1;370
rmmala_pos;0;371
:parameterupdate;1;371
rmmala_pos;1;372
:parameterupdate;1;372
rmmala_pos;1;373
:parameterupdate;0;373
rmmala_pos;1;374
:parameterupdate;0;374
rmmala_pos;0;375
:parameterupdate;0;375
rmmala_pos;0;376
:parameterupdate;0;376
rmmala_pos;0;377
:parameterupdate;1;377
rmmala_pos;0;378
:parameterupdate;1;378
rmmala_pos;1;379
:parameterupdate;1;379
rmmala_pos;0;380
:parameterupdate;1;380
rmmala_pos;0;381
:parameterupdate;0;381
rmmala_pos;1;382
:parameterupdate;0;382
rmmala_pos;1;383
:parameterupdate;1;383
rmmala_pos;1;384
:parameterupdate;0;384
rmmala_pos;1;385
:parameterupdate;0;385
rmmala_pos;1;386
:parameterupdate;1;386
rmmala_pos;0;387
:parameterupdate;0;387
rmmala_pos;0;388
:parameterupdate;0;388
rmmala_pos;0;389
:parameterupdate;1;389
rmmala_pos;1;390
:parameterupdate;1;390
rmmala_pos;0;391
:parameterupdate;0;391
rmmala_pos;1;392
:parameterupdate;1;392
rmmala_pos;1;393
:parameterupdate;0;393
rmmala_pos;1;394
:parameterupdate;0;394
rmmala_pos;1;395
:parameterupdate;1;395
rmmala_pos;0;396
:parameterupdate;0;396
rmmala_pos;1;397
:parameterupdate;0;397
rmmala_pos;1;398
:parameterupdate;1;398
rmmala_pos;1;399
:parameterupdate;0;399
rmmala_pos;0;400
:parameterupdate;0;400
rmmala_pos;0;401
:parameterupdate;0;401
rmmala_pos;1;402
:parameterupdate;1;402
rmmala_pos;1;403
:parameterupdate;0;403
rmmala_pos;0;404
:parameterupdate;0;404
rmmala_pos;1;405
:parameterupdate;1;405
rmmala_pos;1;406
:parameterupdate;1;406
rmmala_pos;1;407
:parameterupdate;1;407
rmmala_pos;1;408
:parameterupdate;1;408
rmmala_pos;1;409
:parameterupdate;0;409
rmmala_pos;1;410
:parameterupdate;1;410
rmmala_pos;1;411
:parameterupdate;0;411
rmmala_pos;1;412
:parameterupdate;0;412
rmmala_pos;1;413
:parameterupdate;0;413
rmmala_pos;1;414
:parameterupdate;1;414
rmmala_pos;1;415
:parameterupdate;1;415
rmmala_pos;0;416
