a;c;gamma;iterate
0.18626608449472218;0.1;0.01;0
0.18626608449472218;0.1;0.01;1
0.18626608449472218;0.1;0.01;2
0.17856529476813227;0.11261114193741328;0.00895183324428308;3
0.17856529476813227;0.11261114193741328;0.00895183324428308;4
0.16506546623761972;0.11767662574552763;0.008909173718868471;5
0.15666252811007841;0.09437398571561767;0.00919774443937354;6
0.14728181485615074;0.09126270285616733;0.011579801895877392;7
0.14575480399952695;0.09080415877110858;0.012390509744780866;8
0.14575480399952695;0.09080415877110858;0.012390509744780866;9
0.14575480399952695;0.09080415877110858;0.012390509744780866;10
