a;c;gamma;iterate
0.1;0.2;1.0;0
0.1;0.2;1.0;1
0.09609400497129023;0.21338065433687262;0.8364616649131116;2
0.08363822801753813;0.1889607769260039;0.5832777869227206;3
0.08363822801753813;0.1889607769260039;0.5832777869227206;4
0.08914284009157011;0.17304989202804333;0.4467278355950266;5
0.08914284009157011;0.17304989202804333;0.4467278355950266;6
0.08963507250828542;0.1757647515575006;0.49032715383132686;7
0.08239602224220474;0.1461200199601797;0.36381434376516036;8
0.08239602224220474;0.1461200199601797;0.36381434376516036;9
0.0706264103643593;0.12784129676794254;0.3698431213002842;10
0.07178927962823069;0.12374417594577432;0.3084008248884499;11
0.0730621576726551;0.1147850122157239;0.33774441596904825;12
0.07597260091262112;0.11015410376273338;0.30153227845154085;13
0.07597260091262112;0.11015410376273338;0.30153227845154085;14
0.06991207488553136;0.10120531393576879;0.26580090023041525;15
0.07030472923419095;0.09375164271982186;0.2556416486406806;16
0.07030472923419095;0.09375164271982186;0.2556416486406806;17
0.0665116673779471;0.09635450260156209;0.2713808021721591;18
0.07030767163013756;0.09175202670975385;0.21547620597401984;19
0.08592799945132934;0.09256087700326851;0.1736586725622855;20
0.10085378569493816;0.1013274747778605;0.15729429473132045;21
0.10085378569493816;0.1013274747778605;0.15729429473132045;22
0.09607741722681973;0.10088227718949352;0.15265295856599095;23
0.09277946367709089;0.09281972608301087;0.10733905961041904;24
0.09277946367709089;0.09281972608301087;0.10733905961041904;25
0.09670326099680328;0.10473408025969466;0.09900163171637677;26
0.10128534007909842;0.09880971852997308;0.09393393992995036;27
0.10128534007909842;0.09880971852997308;0.09393393992995036;28
0.08527028140647876;0.1003269479144024;0.07823877588233291;29
0.08527028140647876;0.1003269479144024;0.07823877588233291;30
0.08527028140647876;0.1003269479144024;0.07823877588233291;31
0.08924376270383276;0.10668747905402304;0.07388746632963314;32
0.08924376270383276;0.10668747905402304;0.07388746632963314;33
0.08924376270383276;0.10668747905402304;0.07388746632963314;34
0.0920825430952235;0.1016463349807299;0.062452231132607124;35
0.0920825430952235;0.1016463349807299;0.062452231132607124;36
0.08235043228569891;0.09963131470517467;0.0689471032147418;37
0.08259243576768922;0.10370358963214142;0.05877082205908836;38
0.08259243576768922;0.10370358963214142;0.05877082205908836;39
0.07615604694407095;0.09149432685592117;0.07094035558853844;40
0.07615604694407095;0.09149432685592117;0.07094035558853844;41
0.07410411222476827;0.11067006255621258;0.048018812388444965;42
0.06267576144851586;0.08772038802524612;0.042739007664676205;43
0.05866999478183905;0.10021699482553835;0.0358867136200004;44
0.05866999478183905;0.10021699482553835;0.0358867136200004;45
0.05367547732133432;0.0839181907676493;0.03256346575276555;46
0.04913820214726332;0.08729563655332964;0.03190820144230102;47
0.04788246463235288;0.0878169448527241;0.03169668899095996;48
0.05142803034041924;0.07633543856718239;0.038966455363479806;49
0.05142803034041924;0.07633543856718239;0.038966455363479806;50
0.04817661900563287;0.07902883440396095;0.0338397753771878;51
0.04280396389037803;0.07983813927687582;0.041678324259733335;52
0.041167454321343264;0.08015531745242593;0.044349530007610924;53
0.041167454321343264;0.08015531745242593;0.044349530007610924;54
0.0388957477543441;0.08603436120452954;0.03767142445795058;55
0.03628236219032421;0.07365725958920641;0.030437255661622673;56
0.03412909948547229;0.08665026188223943;0.027925698609029503;57
0.033121929480846135;0.07999908093495493;0.023595866343560534;58
0.034247382016457106;0.08978193820608985;0.012728950617750789;59
0.03370252345387055;0.11333378594891855;0.008864745494357677;60
0.03145618567053027;0.10702211024979692;0.008255224307489447;61
0.036882248504497006;0.11846384028853581;0.008536788889224049;62
0.0320608560223537;0.10427326674951612;0.007581596890680514;63
0.029126552959488492;0.08869754455362336;0.01277463078079858;64
0.03264430383543283;0.09860349097437529;0.015488669366622606;65
0.027320534621096574;0.08413137637474057;0.012924791005606402;66
0.028060139779518427;0.09490413510173355;0.013757186581993087;67
0.03204650674317705;0.0770263064684376;0.008594893143501061;68
0.029085747130896754;0.07049836098706296;0.01771878068370137;69
0.02802221476486814;0.06149183835098327;0.014952797192677636;70
0.02486877168381773;0.06538210059617239;0.015506441978008028;71
0.025066640610650587;0.07347763479932048;0.014464744623250222;72
0.021256426527973216;0.07905860759651819;0.013248158491472586;73
0.021256426527973216;0.07905860759651819;0.013248158491472586;74
0.025850589245357655;0.09243358694171128;0.016431627246332584;75
0.031636062804750606;0.06103442697231582;0.018863383702027774;76
0.025227198607635646;0.0749000628810886;0.022698818365383858;77
0.029061177074109122;0.06579780639387958;0.0164687375408207;78
0.03275249859016577;0.06266584847090297;0.015026216685860043;79
0.037210081954158175;0.05774082197880711;0.02001735868034943;80
0.03550291328979025;0.04569214429175151;0.01919142329078306;81
